Instance	Generations	AdjSwap	Swap	Insertion	Reversal	3opt	BlockMove	BlockSwap	Cycle	Scramble	Uniform
67	100	29570	30564	30007	24840	26604	27108	27581	33386	34955	36856
67	1000	26330	15577	14708	11059	11928	15037	15050	22278	26102	35603
67	10000	21231	9679	8458	4467	6435	6763	8559	13796	17496	33041
68	1	42986	41554	43235	44770	41267	42720	44803	42019	42342	44145
68	10	40606	39126	39802	41569	38020	40063	40248	39392	39239	39680
68	100	32579	28362	28272	27725	27349	25973	28520	28773	34953	36027
68	1000	28608	14326	13039	9900	12544	12481	16723	20610	24877	36027
68	10000	23548	9514	8046	4212	5876	6127	8604	12002	17924	32899
69	1	41124	42735	41778	44608	38924	43719	41343	42619	42030	42329
69	10	38763	39469	39700	42416	37332	41605	37790	39520	40128	40391
69	100	30258	23449	26613	26663	25698	28671	25924	29866	33632	37091
69	1000	28479	13825	15550	9776	13019	13909	14276	20967	24614	35580
69	10000	23758	9320	9024	4626	5756	5933	8160	13378	18836	34010
70	1	44023	43913	43481	43722	44832	41542	42424	44181	42704	41206
70	10	41841	40219	41857	41197	42352	39515	39712	36856	40161	39026
70	100	31396	29688	26745	26125	26513	25468	27330	31822	36335	37350
70	1000	25539	16236	14678	10242	13170	13749	15185	21923	26068	34042
70	10000	25063	9232	7835	3824	6741	6563	8815	12879	19285	33366
71	1	42262	42141	41414	42426	41113	40683	44623	42062	41556	40670
71	10	39994	38823	40185	39539	37558	37891	40007	41259	38878	40670
71	100	31599	26332	27347	27816	28066	28345	27555	31780	31390	37933
71	1000	28428	16245	13963	10455	13123	13204	12875	22336	24906	32747
71	10000	22270	9538	8414	4656	5650	6413	8242	14138	15916	31703
72	1	44332	42815	42962	39797	41877	43361	44054	43191	42585	43065
72	10	40094	40695	39080	36502	41288	40272	41014	41634	39071	41364
72	100	32596	27869	25853	24967	27963	25326	26039	34216	34716	37667
72	1000	30218	17215	14919	11005	13880	13082	14482	22759	22818	34406
72	10000	24937	9937	9056	5029	6478	7579	9303	14951	18701	34055
73	1	44755	42963	44494	43120	43238	42464	44190	42590	43501	40344
73	10	43564	39215	41694	39785	41214	39723	40874	40747	41795	39596
73	100	34074	27996	29819	24183	28678	30038	25040	29662	35870	37688
73	1000	28613	14799	12681	10662	12978	11860	13743	19389	27926	35123
73	10000	27065	8130	8239	3689	6034	5080	7444	12191	20643	32190
74	1	42624	40137	40926	43521	42730	40837	41080	43786	43935	41059
74	10	40590	38110	39080	40329	41192	37656	38811	38173	39154	39268
74	100	29261	28501	26913	24282	30704	25744	27385	31880	35547	38295
74	1000	25236	15224	14488	9955	11880	12725	14892	19632	25720	33467
74	10000	22854	8161	9545	4194	6190	5798	7835	12824	18416	32181
75	1	42558	41339	41213	41903	42432	42346	40982	41563	41884	40852
75	10	41036	39066	39041	38642	37938	39703	39337	39321	40602	40740
75	100	29870	27720	27398	27839	25526	25088	24741	29286	34094	38537
